k,silhouette,db,ch,inertia
2,0.0539,4.366,538.7,9499.5
3,0.0553,4.749,437.7,9255.4
4,0.0673,4.142,377.8,9076.6
5,0.0376,4.459,326.1,8961.9
6,0.0492,4.004,311.7,8796.7
7,0.0479,4.11,284.6,8702.5
8,0.0512,4.405,263.7,8617.0
9,0.0487,4.038,244.9,8547.8
10,0.0537,4.004,232.8,8466.9
11,0.0547,4.026,223.4,8385.1
12,0.064,3.877,213.5,8319.0
13,0.0648,3.852,206.4,8246.8
14,0.0604,3.913,195.7,8208.8
15,0.0633,3.891,188.0,8160.0
16,0.0653,3.914,182.5,8102.7
17,0.0726,3.791,178.8,8036.0
18,0.0657,3.55,174.3,7981.7
19,0.075,3.757,169.4,7936.2
20,0.0766,3.656,166.8,7874.9
21,0.0673,3.644,158.7,7871.7
22,0.0764,3.544,157.4,7805.0
23,0.0759,3.561,154.3,7760.1
24,0.072,3.597,149.0,7743.7
25,0.0783,3.458,146.9,7695.7
26,0.0804,3.533,144.9,7648.5
27,0.0816,3.52,141.0,7626.8
28,0.0833,3.516,138.4,7593.2
29,0.0846,3.494,135.5,7565.8
30,0.0811,3.508,132.8,7538.5
31,0.0823,3.488,129.9,7516.9
32,0.0873,3.417,129.0,7469.4
33,0.0826,3.468,125.5,7461.3
34,0.0894,3.434,124.9,7413.8
35,0.081,3.413,121.5,7409.2
36,0.0828,3.353,119.6,7384.0
37,0.0887,3.344,117.6,7361.7
38,0.0823,3.34,115.0,7353.1
39,0.0926,3.31,114.7,7306.3
40,0.0834,3.297,113.4,7278.7
41,0.0883,3.261,112.2,7249.3
42,0.0823,3.304,109.0,7257.6
43,0.0921,3.214,108.7,7215.9
44,0.0877,3.183,106.7,7205.1
45,0.0938,3.207,105.8,7177.2
46,0.0889,3.259,104.0,7165.7
47,0.0866,3.172,102.6,7148.7
48,0.0944,3.137,101.9,7119.0
49,0.0936,3.147,100.9,7097.6
50,0.0932,3.134,99.3,7087.8
51,0.0873,3.153,97.6,7082.3
52,0.0833,3.2,96.8,7058.2
53,0.0883,3.149,95.8,7039.8
54,0.0888,3.138,94.8,7022.1
55,0.0916,3.162,93.0,7023.1
56,0.0885,3.178,92.0,7007.6
57,0.0908,3.12,91.4,6982.5
58,0.0922,3.096,90.4,6968.6
59,0.093,3.11,90.2,6936.2
60,0.0917,3.092,88.7,6937.3
61,0.0842,3.103,87.9,6920.9
62,0.0842,3.117,87.0,6906.3
63,0.0924,3.102,86.3,6888.2
64,0.091,3.036,85.4,6877.9
65,0.0837,3.074,84.3,6872.3
66,0.0862,3.101,83.6,6854.9
67,0.0858,3.108,82.8,6843.1
68,0.0872,3.09,82.3,6823.8
69,0.0937,3.075,81.0,6826.5
70,0.0845,3.126,80.2,6817.1
71,0.0925,3.053,79.4,6807.7
72,0.095,3.055,79.6,6771.5
73,0.087,3.075,78.3,6775.9
74,0.0869,3.076,77.7,6762.8
75,0.087,3.065,76.8,6758.6
76,0.09,3.127,76.3,6743.5
77,0.087,3.087,75.7,6733.2
78,0.09,3.091,74.9,6727.1
79,0.0897,3.032,74.6,6708.4
80,0.088,3.065,73.7,6706.7
81,0.0878,3.097,73.2,6694.1
82,0.0885,3.051,72.7,6681.2
83,0.0844,3.031,72.1,6672.5
84,0.0914,3.014,71.4,6667.6
85,0.0836,3.079,70.7,6660.6
86,0.0894,3.068,70.2,6651.2
87,0.084,3.012,69.7,6641.5
88,0.0888,3.103,69.1,6634.5
89,0.0819,3.128,68.1,6640.8
90,0.088,3.127,67.9,6621.2
91,0.0836,3.137,67.0,6627.7
92,0.0834,3.208,66.8,6610.4
93,0.0839,3.086,66.5,6595.3
94,0.0855,3.09,66.2,6581.6
95,0.0835,3.085,65.5,6579.4
96,0.0857,3.084,65.0,6572.5
97,0.0842,3.107,64.5,6568.1
98,0.085,3.095,64.2,6555.4
99,0.0861,3.078,63.7,6548.1
100,0.0849,3.092,63.4,6536.8
101,0.083,3.113,62.8,6534.7
102,0.084,3.102,62.5,6523.3
103,0.0824,3.124,61.9,6524.7
104,0.0846,3.115,61.6,6511.7
105,0.0851,3.104,61.2,6504.5
106,0.0866,3.153,60.5,6507.2
107,0.0826,3.074,60.5,6486.7
108,0.0843,3.105,59.9,6488.5
109,0.0845,3.102,59.7,6476.6
110,0.0834,3.052,59.2,6471.9
111,0.0844,3.075,58.9,6464.9
112,0.0823,3.088,58.3,6465.8
113,0.0826,3.097,57.9,6459.7
114,0.0833,3.096,58.0,6438.3
115,0.0829,3.121,57.3,6444.2
116,0.0804,3.103,57.1,6433.6
117,0.0831,3.104,56.6,6433.9
118,0.0829,3.105,56.2,6429.2
119,0.0831,3.099,55.9,6419.9
120,0.0834,3.102,55.5,6418.3
